const,paid_search_impressions,paid_social_impressions_adst.2,digital_app_clicks_adst.4,kwai_clicks_adst.3,indicacao_clicks_adst.2,infleux_clicks_adst.2,influencer_clicks,total_approved_accounts_revenue
1.0,0.4338227297444263,0.6132534623816663,0.8664669856091928,0.4947052231701362,0.2060336834413005,0.6210488557511495,0.2806433721575153,5602170
1.0,0.4427406199021207,0.5817454927659867,0.8218575817720767,0.46055405986895503,0.19055931638747844,0.8391349090942357,0.3075429839156961,5992910
1.0,0.4842849374660141,0.6116727073289291,0.7480231433243594,0.30654879620190933,0.18423051117584405,0.45464563919478196,0.48447032723239053,4941800
1.0,0.433605220228385,0.5895687490430453,0.7020943525636457,0.26551791312106876,0.17896989320303078,0.3178922992994745,0.22712146422628954,4659060
1.0,0.3116911364872213,0.5561197740543209,0.7182931747145971,0.27185228454799837,0.1257128705372816,0.11699057302009787,0.129783693843594,3260640
1.0,0.2822185970636215,0.5866856950253077,0.7800674420264369,0.3169388317426821,0.09155431467848038,0.2825730716690108,0.11120354963948974,4005470
1.0,0.35976073953235455,0.596466478995505,0.6705581335910231,0.29009452604169217,0.15146660773307832,0.4532567815849287,0.290904048807543,5034960
1.0,0.4238172920065253,0.5935402016490544,0.6086033640663202,0.4036132797047268,0.1721725294371009,0.20146756704696872,0.7770382695507487,4235970
1.0,0.36922240348015223,0.5927049735972577,0.6012603793301832,0.39365730071940197,0.16234530246994608,0.15578635799433674,0.29755962285080423,4131270
1.0,0.3978249048395867,0.5039672641425557,0.6374899546593582,0.3456878792129452,0.16459212118689195,0.22856809720995722,0.20798668885191351,4946040
1.0,0.3761827079934747,0.38621151303652945,0.6035088617229409,0.30952186811646365,0.35932197605985544,0.09809452126860557,0.14281752634498057,3309470
1.0,0.2751495377922784,0.41128953299146986,0.5925868860863488,0.28913176649843786,0.3066308207106372,0.10902391124155641,0.08208541320022185,3177130
1.0,0.23969548667754217,0.48914406228537965,0.6399360342838232,0.32566690927999176,0.1549953298919126,0.2146022939986089,0.0452024403771492,2953700
1.0,0.3629146275149538,0.4763089463715292,0.6725112320218657,0.33653034984179553,0.18007988670273786,0.21993320057534774,0.13033832501386577,3873510
1.0,0.3497553017944535,0.4115911368747256,0.6409284188175227,0.6566340977077657,0.24151396124646626,0.35764392930467237,0.1503050471436495,4412810
1.0,0.3305057096247961,0.4201060123699626,0.699620893522784,0.8117276794144649,0.2260270089242111,0.3344938968625374,0.22712146422628954,4074580
1.0,0.3806416530723219,0.4418609136024053,0.737477914171498,0.7640179983076102,0.28336881446929607,0.2067065017178616,0.21658347199112593,3587780
1.0,0.1872756933115824,0.42616457000648233,0.7437839224325944,0.6407320684801692,0.2528232380644899,0.3338768486215085,0.18663338879645036,3722530
1.0,0.19401848830886353,0.4458641702941901,0.7607430026574783,0.505211758347761,0.1735294308529169,0.1878946480767208,0.2859123682750971,2943410
1.0,0.24404567699836868,0.4707886622302241,0.8261554039675142,0.5144905090246805,0.14144665861127986,0.12277767984775122,0.09900166389351082,2640290
1.0,0.22860250135943447,0.4555562076914528,0.7848224260422938,0.6405940205090113,0.21019863661006435,0.12584661043401504,0.10011092623405436,3510210
1.0,0.21685698749320284,0.4346192480880635,0.8865421271583424,0.4815259405631178,0.29691631696054255,0.1906849620642584,0.11924570160843041,3877380
1.0,0.20554649265905384,0.4181799609753498,0.8818402537668816,0.4926252182446019,0.23159077287730698,0.09273409403533661,0.13117027176927343,3219310
1.0,0.19543230016313215,0.3611812370820968,0.7862586736581468,0.44752524305867236,0.1984970276132552,0.12205409306740296,0.42651136993899064,3474730
1.0,0.18216421968461122,0.28739351754852765,0.7569518569976412,0.41438059142508765,0.1894324477866776,0.17430451145840997,0.9389905712701053,4003360
1.0,0.11038607939097335,0.300449493064093,0.7902790072483041,0.5142598663161928,0.1258215409375109,0.185188789382333,0.9179145867997782,3448630
1.0,0.12169657422512235,0.3475103815368251,0.8089750673475912,0.4254675693174025,0.09274461235043724,0.2139329053772096,0.5873544093178037,3032970
1.0,0.19760739532354543,0.35542834875864515,0.7577357067826247,0.49996189719566064,0.20844794121886864,0.22363470535494223,0.9919578480310595,3941750
1.0,0.14638390429581297,0.3388516428915487,0.7042152548703503,0.5410023830466512,0.23196906955736316,0.37533589727063976,0.7049362174154188,4403680
1.0,0.1711799891245242,0.3307817942214656,0.6972437510258859,0.5277038043872389,0.20498619875603372,0.3769198125881741,0.43788130892956184,4493600
1.0,0.22153344208809136,0.34952861548242065,0.7319063494812734,0.5132029097737097,0.18904537637108257,0.19483882959478765,0.4509151414309485,3467310
1.0,0.27721587819467103,0.3525943690683023,0.6322767734995013,0.5354101129628189,0.19115651190392127,0.08322561706519623,0.29866888519134777,2588380
1.0,0.25916258836324085,0.3756332905627734,0.6229653123319946,0.4840293904355988,0.16695737588789925,0.060875837418920324,0.3377703826955075,2531920
1.0,0.23034257748776513,0.41377984426774017,0.7095913432331379,0.43717831290297904,0.14249655069958464,0.11062588792415326,0.3488630061009429,2747410
1.0,0.3640021750951604,0.3604536007087037,0.7055767094467971,0.5068736998145178,0.19451071499823855,0.39415445568363466,0.5083194675540765,3987700
1.0,0.222620989668298,0.3625963573494695,0.6962022405490614,0.6001720601578028,0.2089627565834283,0.26895991741852704,0.3361064891846922,3377390
1.0,0.28863512778684064,0.34383327004774666,0.6598728222266751,0.4577713553064322,0.23601253776578893,0.1353272197678362,0.19328896283971164,2814330
1.0,0.23708537248504621,0.4076837900754142,0.6186445318256639,0.30906401324000543,0.2259322324350688,0.08923380773582301,0.15668330560177485,2893090
1.0,0.26916802610114193,0.37515448143155006,0.6076640772027164,0.2602278617592628,0.23478653036344563,0.06920549775364239,0.3305601774819745,2858250
1.0,0.2164219684611202,0.40183233088221393,0.5666865722832831,0.27361529754630953,0.19802196731354446,0.05085333422148752,0.14475873544093176,2717380
1.0,0.21239804241435564,0.4420802835818489,0.5981615703067846,0.28678341748085534,0.15805797772000166,0.08335670961173956,0.15890183028286192,2878400
1.0,0.34442631865144097,0.43323409687190795,0.5446940618359187,0.2976523903884154,0.2124066886348703,0.07534806031192562,0.16694398225180257,2923700
1.0,0.24980967917346383,0.45697390958349915,0.5277901969082937,0.28467272715789615,0.22634730723379617,0.25672302216981824,0.23544093178036607,4318830
1.0,0.2097879282218597,0.4622096297424848,0.523869050936726,0.2886198367062296,0.19288278370685422,0.38426926327746364,0.1663893510815308,3837560
1.0,0.22762370853724853,0.48880528421166636,0.5119829002422872,0.3475555462366954,0.19249468721828797,0.4219088132388407,0.29007210205213535,3797130
1.0,0.24502446982055467,0.42268799536607526,0.5460715168805083,0.29204542107654685,0.17959004430704006,0.2295988216377375,0.7615085967831392,3201640
1.0,0.20250135943447528,0.41896298436654433,0.6533754250571839,0.2269626250381276,0.15217034542231028,0.13531572560193025,0.2640044370493622,2843020
1.0,0.24502446982055467,0.4735584857836522,0.7176364037085798,0.29026602480763375,0.11396662507185648,0.11768027771086091,0.617859123682751,2605750
1.0,0.29320282762370853,0.4846064502146191,0.6484584874941259,0.3865261782095948,0.16361267290289075,0.11738250783520163,0.42457016084303945,3209930
1.0,0.3303969548667754,0.4096430381053541,0.6437937517733816,0.3642070509689298,0.12701674597254825,0.09661731576721971,0.35163616195230174,3291230
1.0,0.28080478520935287,0.3846656001666302,0.5567725036544523,0.4014500911764687,0.09349999540968443,0.11399307537065397,0.4420410427066001,3121460
1.0,0.21685698749320284,0.4124786518155352,0.5874388659334071,0.2833798783250687,0.1541928710631411,0.14873021298329792,0.31087077093732673,3634580
1.0,0.1653072321914084,0.41111737104308677,0.6071422416128642,0.23489855879655516,0.242641366335369,0.10902889623110948,0.4032168607875763,3160370
